device_id,timestamp,movement_activity,fall_detected,impact_force,inactivity_duration,location,alert_triggered,caregiver_notified
D1000,1/7/2025 16:04,No Movement,0,None,0,Kitchen,0,0
D1001,1/20/2025 15:45,Lying,0,None,0,Living Room,0,0
D1002,1/2/2025 2:42,No Movement,0,None,0,Bedroom,0,0
D1003,1/1/2025 22:36,Lying,0,None,0,Kitchen,0,0
D1004,1/3/2025 16:30,No Movement,0,None,0,Bedroom,0,0
D1005,1/19/2025 12:13,Sitting,0,None,0,Bedroom,0,0
D1006,1/4/2025 10:58,Lying,0,None,0,Bathroom,0,0
D1007,1/21/2025 7:31,Lying,0,None,0,Bedroom,0,0
D1008,1/10/2025 23:56,Sitting,0,None,0,Kitchen,0,0
D1009,1/4/2025 16:16,Sitting,0,None,0,Kitchen,0,0
D1010,1/13/2025 7:05,Walking,0,None,0,Bedroom,0,0
D1011,1/9/2025 6:32,Sitting,0,None,0,Bathroom,0,0
D1012,1/1/2025 22:34,No Movement,0,None,0,Kitchen,0,0
D1013,1/17/2025 10:52,Walking,0,None,0,Living Room,0,0
D1014,1/29/2025 1:59,Walking,0,None,0,Bedroom,0,0
D1015,1/23/2025 2:14,Sitting,0,None,0,Bedroom,0,0
D1016,1/13/2025 10:48,Walking,0,None,0,Living Room,0,0
D1017,1/4/2025 12:16,Sitting,0,None,0,Bathroom,0,0
D1018,1/6/2025 8:18,No Movement,0,None,0,Living Room,0,0
D1019,1/11/2025 21:01,Sitting,0,None,0,Living Room,0,0
D1020,1/1/2025 16:18,Walking,0,None,0,Bathroom,0,0
D1021,1/20/2025 17:34,Walking,0,None,0,Living Room,0,0
D1022,1/19/2025 19:46,No Movement,1,Medium,463,Bathroom,1,1
D1023,1/1/2025 20:45,Lying,0,None,0,Kitchen,0,0
D1024,1/4/2025 7:30,No Movement,0,None,0,Bedroom,0,0
D1025,1/2/2025 2:26,No Movement,0,None,0,Bedroom,0,0
D1026,1/21/2025 17:02,Lying,0,None,0,Living Room,0,0
D1027,1/21/2025 2:22,No Movement,0,None,0,Bathroom,0,0
D1028,1/3/2025 22:44,No Movement,1,Low,94,Kitchen,0,0
D1029,1/18/2025 11:56,Sitting,0,None,0,Bathroom,0,0
D1030,1/9/2025 16:43,No Movement,0,None,0,Living Room,0,0
D1031,1/5/2025 20:19,Walking,0,None,0,Bedroom,0,0
D1032,1/15/2025 12:59,Walking,0,None,0,Living Room,0,0
D1033,1/17/2025 15:23,No Movement,0,None,0,Bathroom,0,0
D1034,1/17/2025 14:42,No Movement,0,None,0,Bedroom,0,0
D1035,1/5/2025 18:31,Lying,0,None,0,Bedroom,0,0
D1036,1/10/2025 13:30,Lying,0,None,0,Kitchen,0,0
D1037,1/17/2025 4:41,Walking,0,None,0,Living Room,0,0
D1038,1/27/2025 3:36,Walking,0,None,0,Bathroom,0,0
D1039,1/23/2025 1:16,Lying,0,None,0,Bedroom,0,0
D1040,1/8/2025 23:38,Sitting,0,None,0,Bathroom,0,0
D1041,1/25/2025 19:25,Sitting,0,None,0,Living Room,0,0
D1042,1/16/2025 18:26,Sitting,0,None,0,Bathroom,0,0
D1043,1/25/2025 3:44,No Movement,0,None,0,Living Room,0,0
D1044,1/22/2025 5:05,Lying,0,None,0,Bathroom,0,0
D1045,1/14/2025 21:59,Lying,0,None,0,Bedroom,0,0
D1046,1/12/2025 17:48,Lying,0,None,0,Living Room,0,0
D1047,1/21/2025 3:30,Lying,0,None,0,Bathroom,0,0
D1048,1/27/2025 7:40,Walking,0,None,0,Living Room,0,0
D1049,1/6/2025 20:10,Sitting,0,None,0,Living Room,0,0
D1050,1/11/2025 23:40,Sitting,0,None,0,Bedroom,0,0
D1051,1/17/2025 7:51,Walking,0,None,0,Bedroom,0,0
D1052,1/27/2025 11:01,Lying,0,None,0,Living Room,0,0
D1053,1/14/2025 17:59,Walking,0,None,0,Bedroom,0,0
D1054,1/14/2025 7:06,No Movement,0,None,0,Bedroom,0,0
D1055,1/24/2025 13:42,No Movement,0,None,0,Bedroom,0,0
D1056,1/1/2025 20:51,No Movement,0,None,0,Bathroom,0,0
D1057,1/3/2025 6:08,No Movement,0,None,0,Living Room,0,0
D1058,1/15/2025 18:37,Lying,0,None,0,Bedroom,0,0
D1059,1/30/2025 12:43,Walking,0,None,0,Kitchen,0,0
D1060,1/8/2025 6:36,Walking,0,None,0,Living Room,0,0
D1061,1/9/2025 12:41,No Movement,0,None,0,Living Room,0,0
D1062,1/25/2025 3:28,Walking,0,None,0,Kitchen,0,0
D1063,1/1/2025 15:32,Sitting,0,None,0,Living Room,0,0
D1064,1/8/2025 3:42,Walking,0,None,0,Living Room,0,0
D1065,1/27/2025 20:06,No Movement,0,None,0,Kitchen,0,0
D1066,1/29/2025 11:42,Sitting,0,None,0,Kitchen,0,0
D1067,1/28/2025 22:37,Sitting,0,None,0,Living Room,0,0
D1068,1/12/2025 14:45,Sitting,0,None,0,Kitchen,0,0
D1069,1/24/2025 8:43,Sitting,0,None,0,Kitchen,0,0
D1070,1/21/2025 12:11,No Movement,0,None,0,Kitchen,0,0
D1071,1/12/2025 17:01,No Movement,1,Low,306,Bathroom,0,0
D1072,1/6/2025 21:53,Walking,0,None,0,Bedroom,0,0
D1073,1/25/2025 6:20,Walking,0,None,0,Living Room,0,0
D1074,1/16/2025 16:02,Walking,0,None,0,Bathroom,0,0
D1075,1/1/2025 19:36,Sitting,0,None,0,Living Room,0,0
D1076,1/27/2025 21:59,Walking,0,None,0,Bathroom,0,0
D1077,1/11/2025 22:03,Walking,0,None,0,Kitchen,0,0
D1078,1/7/2025 18:58,Sitting,0,None,0,Living Room,0,0
D1079,1/4/2025 5:21,No Movement,1,High,466,Kitchen,1,1
D1080,1/6/2025 14:47,Walking,0,None,0,Bathroom,0,0
D1081,1/21/2025 22:22,Sitting,0,None,0,Kitchen,0,0
D1082,1/5/2025 2:43,Lying,0,None,0,Bathroom,0,0
D1083,1/26/2025 1:08,No Movement,0,None,0,Bathroom,0,0
D1084,1/12/2025 20:30,Sitting,0,None,0,Bathroom,0,0
D1085,1/19/2025 10:28,Lying,0,None,0,Kitchen,0,0
D1086,1/5/2025 10:48,Lying,0,None,0,Kitchen,0,0
D1087,1/10/2025 7:07,Walking,0,None,0,Bedroom,0,0
D1088,1/25/2025 11:46,Lying,0,None,0,Bathroom,0,0
D1089,1/29/2025 7:59,No Movement,0,None,0,Bathroom,0,0
D1090,1/3/2025 16:09,Lying,0,None,0,Living Room,0,0
D1091,1/4/2025 10:48,Sitting,0,None,0,Bedroom,0,0
D1092,1/8/2025 0:19,Lying,0,None,0,Bathroom,0,0
D1093,1/27/2025 8:03,Sitting,0,None,0,Bathroom,0,0
D1094,1/27/2025 18:22,Sitting,0,None,0,Kitchen,0,0
D1095,1/28/2025 3:52,Sitting,0,None,0,Bedroom,0,0
D1096,1/4/2025 10:43,No Movement,0,None,0,Kitchen,0,0
